"Time","Mean","Lower95","Upper95","Rt"
1,2.3111,0.4529,4.4817,NA
2,2.7664,1.8173,3.8989,NA
3,2.7664,1.8173,3.8989,NA
4,2.7664,1.8173,3.8989,3.14564685314686
5,2.7664,1.8173,3.8989,3.14449300699301
6,2.7664,1.8173,3.8989,3.14318181818182
7,2.1593,1.4696,2.9212,3.14077972027972
8,2.1593,1.4696,2.9212,3.13841958041958
9,2.1593,1.4696,2.9212,3.13531468531469
10,2.1593,1.4696,2.9212,3.12868469765529
11,2.1593,1.4696,2.9212,3.11994005994006
12,2.616,1.6751,3.7204,3.10972633136095
13,2.616,1.6751,3.7204,3.09284885568976
14,2.616,1.6751,3.7204,3.0726948661095
15,2.616,1.6751,3.7204,3.04802329026905
16,2.616,1.6751,3.7204,3.0161740182894
17,1.1046,0.2301,2.0377,2.97287832167832
18,1.1046,0.2301,2.0377,2.912653360874
19,1.1046,0.2301,2.0377,2.83071947283486
20,1.1046,0.2301,2.0377,2.72489932708801
21,1.1046,0.2301,2.0377,2.60068466696254
22,2.0967,0.989,3.2539,2.46361480984769
23,2.0967,0.989,3.2539,2.3025206727579
24,2.0967,0.989,3.2539,2.11477910190246
25,2.0967,0.989,3.2539,1.91555101857669
26,2.0967,0.989,3.2539,1.70578078443296
27,0.7296,0.0987,1.3748,1.50559813972435
28,0.7296,0.0987,1.3748,1.3196973518285
29,0.7296,0.0987,1.3748,1.1388176013176
30,0.7296,0.0987,1.3748,0.979760960193653
31,0.7296,0.0987,1.3748,0.836866136959016
32,0.3642,1.7993e-06,0.7931,0.718571279756513
33,0.3642,1.7993e-06,0.7931,0.623668862258074
34,0.3642,1.7993e-06,0.7931,0.543685888244248
35,0.3642,1.7993e-06,0.7931,0.481666162557166
36,0.3642,1.7993e-06,0.7931,0.426494195459713
37,0.4807,0.0424,0.9441,0.382908140517201
38,0.4807,0.0424,0.9441,0.348979807175073
39,0.4807,0.0424,0.9441,0.322139557481243
40,0.4807,0.0424,0.9441,0.300742460664336
41,0.4807,0.0424,0.9441,0.281113360323887
42,0.9698,0.113,1.6818,0.263620906532492
43,0.9698,0.113,1.6818,0.247529708054184
44,0.9698,0.113,1.6818,0.236682047460736
45,0.9698,0.113,1.6818,0.226677317897414
46,0.9698,0.113,1.6818,0.21700666520979
47,0.5731,1.2461e-05,1.2659,0.209202464202464
48,0.5731,1.2461e-05,1.2659,0.201783889187735
49,0.5731,1.2461e-05,1.2659,0.194019773330118
50,0.5731,1.2461e-05,1.2659,0.189596557288865
51,0.5731,1.2461e-05,1.2659,0.183451704545455
52,0.4998,1.407e-05,1.1903,0.178224053174548
53,0.4998,1.407e-05,1.1903,0.175534781008465
54,0.4998,1.407e-05,1.1903,0.171968262506724
55,0.4998,1.407e-05,1.1903,0.16843785247011
56,0.4998,1.407e-05,1.1903,0.166378621378621
57,0.3741,1.9261e-06,1.0121,0.164734793508378
58,0.3741,1.9261e-06,1.0121,0.163063186813187
59,0.3741,1.9261e-06,1.0121,0.162083916083916
60,0.3741,1.9261e-06,1.0121,0.160961538461538
61,0.3741,1.9261e-06,1.0121,0.159869675778767
62,0.7205,3.3439e-06,1.7338,0.159260270979021
63,0.7205,3.3439e-06,1.7338,0.158146853146853
64,0.7205,3.3439e-06,1.7338,0.157972027972028
65,0.7205,3.3439e-06,1.7338,0.157972027972028
66,0.7205,3.3439e-06,1.7338,0.157792207792208
67,0.7306,1.3574e-05,1.8958,0.157447552447552
68,0.7306,1.3574e-05,1.8958,0.15729020979021
69,0.7306,1.3574e-05,1.8958,0.156803196803197
70,0.7306,1.3574e-05,1.8958,0.156513032422123
71,0.7306,1.3574e-05,1.8958,0.156398601398601
72,2.3378,3.4677e-05,4.2629,0.156398601398601
73,2.3378,3.4677e-05,4.2629,0.156241258741258
74,2.3378,3.4677e-05,4.2629,0.155874125874126
75,2.3378,3.4677e-05,4.2629,0.155769230769231
76,2.3378,3.4677e-05,4.2629,0.15558941058941
77,NA,NA,NA,0.155454545454545
78,NA,NA,NA,0.155454545454545
79,NA,NA,NA,0.155454545454545
81,NA,NA,NA,0.155454545454545
82,NA,NA,NA,0.15513986013986
83,NA,NA,NA,0.15513986013986
84,NA,NA,NA,0.15513986013986
85,NA,NA,NA,0.15513986013986
87,NA,NA,NA,0.15513986013986
89,NA,NA,NA,0.15513986013986
94,NA,NA,NA,NA
