"Scenario","Model","RMSE","Coverage","CRPS","Brier"
"Baseline","EpiFusion",0.217028901397631,1.05263157894737,"0.129","0.011"
"Sampling","EpiFusion",0.22195434528163,1.05263157894737,"0.123","0.019"
"Transmission","EpiFusion",0.368738736244941,1.02493074792244,"0.15","0.109"
"Baseline","EpiNow2",0.217350080558718,1.05263157894737,"0.11","0.145"
"Sampling","EpiNow2",0.583943549882693,0.546302465023318,"0.28","0.236"
"Transmission","EpiNow2",0.542511198555497,0.817174515235457,"0.415","0.417"
"Baseline","BDSky",0.906219901417727,1.0369206598586,"0.396","0.178"
"Sampling","BDSky",0.859248996210515,0.894015861571738,"0.452","0.237"
"Transmission","BDSky",0.922100677654669,0.664819944598338,"0.452","0.103"
"Baseline","TimTam",1.16672951993178,0.566801619433198,"0.721","0.226"
"Sampling","TimTam",1.38159810703886,0.940988835725678,"0.542","0.227"
"Transmission","TimTam",0.735167510447753,0.609418282548477,"0.762","0.143"
